Node;Stake;;;247424142.6
NodeID-9iuMMyL7LZyUxMK9s735hcRng58bSj3gw;57175;;;
NodeID-HvUBEqBfzHJPKbktYKD5y438yTYMroMrw;56065.58;;;
NodeID-KfPXTUa3haWHCr1z91ULmY9Pit4VwUQ9C;55000;;;
NodeID-CDjuct2YS1o4d14nHtszWmyVUmFjo6AHm;52603.23;;;
NodeID-LXCSfcmd7p7LroJzJtYoSAhbsawe47CNk;52332.92;;;
NodeID-7g7qvfKvRXmPZAxhBMfj8XCGuWVVHexHe;51945.38;;;
NodeID-BMaQ42mVapxbCcX2RLPRTeRW3th91XdaX;51478.12;;;
NodeID-M77VJM2GfeAzueJ6DjumoM5enZma86Zop;49954.75;;;
dilbertt / dilbertt2;49907.98;;;
NodeID-NxWWrAZTb7qytsHvC32Y2NfPFeKfEzW9s;49832.92;;;
NodeID-AZPULN7CsYdfSq1zepSS3CZNhxJsU3a4n;49750.36;;;
NodeID-KQocfzJn3D4V4gBGPYsUB9Es7nT28Atvq;49700.02;;;
BLRD / Asuka;49415.56;;;
NodeID-4bKCgF7VcG9ZtcfMwAVFfBJoh2xDgvz1j;49286.97;;;
Staking Alliance / STAR;49217.55;;;
NodeID-7rXi72Jm76kAKUi6BiyJChnAm9xuKrud9;48737.56;;;
NodeID-9D33RPjZwKx3gV6MVs77z4uPJcKgqy4ns;48734.81;;;
Allnodes / Strange Okapi;48407.3;;;
NodeID-Cr9DwgpG5pMSmah4NUibH3ouuBpMJpVXo;47400;;;
Axe of ACryptoS / ACryptoS;47356.87;;;
NodeID-9odH3Jbw7uPuRrbaVkVoYeitdzwX6o69A;46944.27;;;
NodeID-FT14SNRwuQ8CSicdj1G3N8YhF91Zr6st9;46274.35;;;
NodeID-Bv1zHw7jsH86Pgc4uoG67TGLkwrYaNtHo;45850.64;;;
?nordcourt.com / Odin;45676.67;;;
NodeID-MarwjkBssASPi2eiriyviUF2raEjFMWf5;45547.2;;;
NodeID-Pd9BpMyGRrnHsBrTJGpThWj6njPLnUBq8;45220.98;;;
Fiberblock.io;45000;;;
NodeID-CFoWfGyYw9HPuDK79fjor9d96S9wLAbpR;44965.5;;;
NodeID-2yC7fWX23kGjCd7ytqGzQQcRJf7xaj1N1;44730.49;;;
NodeID-2KfgS6P7vf9L55fMRTbHPgS4ugVSDW3nj;43966.7;;;
NodeID-Cn4ocmPe1Hqo29RyYCC1QXr8b763Wpw92;43472.36;;;
NodeID-7sXynCg221J72LZwnZVc1AQuovuoZTinw;42765.35;;;
NodeID-CBPbPrYDbghbAP4RLSCQr7bHQqHWh1c9Y;42070.67;;;
NodeID-JDH5gzcB2DTfbEokaFU7EvpLN7E1RHzpH;41958.32;;;
NodeID-HHQ4BFhNMVJwMz8b5tenWtkzdcSYvonmi;41836.06;;;
NodeID-6gAC5LaDoT9EWJezcQ7ijFjcsYa61Atdb;41578.51;;;
NodeID-9ELLTibk4vvvY8VTHfBWFcprBTFa8kAJy;41567.9;;;
NodeID-FkHyxMuq6DGNLdQtMKiLzhQQuwjSCqwHj;41140;;;
NodeID-WrL5pKhhp8e2YLp6h1e62NBUPhuR6pGa;40975.24;;;
NodeID-DqqpR7tQ3goBbudggakvzYs2K9TzR7daR;40948.2;;;
NodeID-4BPSaJpNyz8ghMbEnXjwvkmXYSdd1zq3t;40704.41;;;
Allnodes / Furry Woodpecker;40075.87;;;
NodeID-AwBfjtuNZk2Cu8wmQjYsNipqWK6nYMnv2;40016.09;;;
NodeID-E7y9pDbyYecgLszBEyywWYFCF89wmT7qj;39990;;;
Allnodes / Sly Quail;39981.49;;;
Allnodes / Slow Pug;39884.3;;;
NodeID-76KcZZBhWfiWuFqrx21KyeBHdXxsaVyX2;39657.7;;;
NodeID-6pXaVajr1G1nj8Z4rEXisGUajXGcFPh14;39153.28;;;
NodeID-7HgUf4o1UiEGh2Z2tWp2erbkn5JaXYYZG;38804.95;;;
Allnodes / Sly Seahorse;38780.71;;;
NodeID-BYwDFtBnr9GCqXEpspXbYBLDgN2N7Kvpm;38635.56;;;
Coinbase Cloud / Coinbase Cloud Public Validator;38400;;;
NodeID-KQvbFjGxgnCXrdh7CShNEj4gcuvU97c3Q;37762.23;;;
cryptonote.social / c.s ;37650;;;
NodeID-6anRg13mVkUeZmpjf2Mm41sug56BH7Jof;37529.24;;;
NodeID-GhUSE8wcdouEgd3xeCvmYhmevkdNetfXk;37322.19;;;
NodeID-7rE4BjdFpwUk2igXEeauKaZT8mCjkt9Hs;36625.84;;;
NodeID-J3hSnidWXiVhw5byxdgvEwy2ewoUsWYzK;34965.37;;;
NodeID-EsEPWtpufYKngPEhSnJH5ofiSegQSxLcy;34333.39;;;
Chorus One;34280.42;;;
NodeID-5RuEXmu7SJpf8bwuY17UpMpoEsGZRWnuj;34146.57;;;
NodeID-Lga7mB6EfqgSJv4VTPaUwDjEtq6utiNQH;33751.46;;;
CederNet Node;33198.09;;;
NodeID-7ciXBVhiTyiymkqVdXqwdERrijz68k5YP;33004.33;;;
NodeID-EtDwJYgMnGtCY8E93KN5McTLbtDDEzQ9g;32401.24;;;
NodeID-KC9tasJTftYR2SYdNcPRF6XJGng6gBYcw;32299.43;;;
NodeID-6LRbs1K2iPGmhn1EBbX8u2udyPbUt5S5x;31767.39;;;
NodeID-Mf3rZ5w3aEtM1bzRBwFqhZYZMwks6FYF5;30949.64;;;
NodeID-8DATrHc26qgbZRascenqWbNfBA7g8zG3w;30810.63;;;
NodeID-KLiUDfG672VocEHwbAwGxxFdCHovg1Zp5;30215.74;;;
